,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Kepler,g,r,i,z,DDO51_finf,Mact
0,1,6.65,-0.39,0.53985,-1.2,3.627,4.826,8.9,0.021,0.0,16.671,16.123,15.106,14.461,14.341,16.972,18.067,16.926,16.519,16.284,18.051,0.54
1,1,6.65,-0.11,0.12626,-1.772,3.503,4.269,11.2,0.034,0.0,20.4,20.14,18.504,17.974,17.726,21.506,23.542,21.99,20.722,19.985,23.32,0.126
2,1,6.91,0.29,0.04413,-2.475,3.439,4.259,9.4,0.024,0.0,20.357,20.355,18.295,17.795,17.493,22.066,24.739,23.114,21.213,20.076,24.378,0.044
3,1,7.15,0.01,0.46473,-1.476,3.589,4.881,11.9,0.036,0.0,20.359,19.877,18.646,18.037,17.883,20.91,22.296,20.999,20.322,19.914,22.25,0.465
4,1,7.15,0.13,0.61664,-1.114,3.621,4.77,10.3,0.03,0.0,17.855,17.339,16.249,15.573,15.458,18.238,19.415,18.22,17.748,17.466,19.42,0.617
5,1,7.15,0.39,0.14435,-1.772,3.491,4.28,10.0,0.028,0.0,19.199,18.98,17.264,16.748,16.491,20.414,22.558,21.006,19.609,18.794,22.312,0.144
6,1,7.17,-0.29,0.21566,-2.131,3.56,5.089,11.2,0.034,0.0,21.297,20.854,19.546,18.987,18.775,21.953,23.533,22.092,21.312,20.851,23.399,0.216
7,1,7.27,-0.31,0.04003,-2.669,3.423,4.346,7.0,0.011,0.0,18.443,18.526,16.347,15.862,15.537,20.332,23.121,21.527,19.489,18.225,22.691,0.04
8,1,7.27,0.17,0.53986,-1.305,3.599,4.818,10.6,0.031,0.0,18.634,18.152,16.951,16.289,16.158,19.147,20.455,19.206,18.587,18.212,20.43,0.54
9,1,7.29,0.03,0.36153,-1.743,3.57,4.964,10.7,0.032,0.0,19.828,19.38,18.06,17.492,17.304,20.493,22.004,20.663,19.848,19.362,21.896,0.362
10,1,7.41,0.09,0.79083,-0.661,3.673,4.635,10.4,0.03,0.0,16.821,16.233,15.37,14.807,14.724,16.961,17.801,16.883,16.609,16.464,17.719,0.791
11,1,7.43,0.05,1.52471,0.721,3.857,4.275,9.2,0.023,0.0,12.167,11.808,11.528,11.413,11.391,12.147,12.234,12.109,12.149,12.236,12.148,1.525
12,1,7.47,-0.21,0.08375,-2.2,3.487,4.455,9.5,0.025,0.0,19.769,19.555,17.84,17.304,17.049,20.986,23.205,21.581,20.172,19.373,22.979,0.084
