,logg,Teff,Z,aLSM,bLSM
0,3.5,4000,-5.0,0.23955518907987416,0.3673376930524008
1,3.5,4250,-5.0,0.25238174438340394,0.3586036307622101
2,4.0,4250,-5.0,0.1787789393462314,0.3920683035077494
3,3.5,4500,-5.0,0.3978155097835411,0.2899626481749683
4,4.0,4500,-5.0,0.26786137004826477,0.3563842496130464
5,3.5,4750,-5.0,0.4727399341708698,0.2731976027783421
6,4.0,4750,-5.0,0.3491748784676601,0.33569488144000215
7,4.5,4750,-5.0,0.2542183247869423,0.3666209096432245
8,3.5,5000,-5.0,0.4589079347610311,0.2624266248613937
9,4.0,5000,-5.0,0.4107202953046732,0.2913272010899461
10,4.5,5000,-5.0,0.3478150597813377,0.3212577305010949
11,5.0,5000,-5.0,0.28479748994005294,0.3458469078387195
12,3.5,5250,-5.0,0.46602332140783775,0.26326879349048493
13,4.0,5250,-5.0,0.42099061061456916,0.2931897267230244
14,4.5,5250,-5.0,0.3774911802459929,0.3140686918021041
15,5.0,5250,-5.0,0.3095912906007864,0.38238054263513743
16,3.5,5500,-5.0,0.47321150153123875,0.26200971835626224
17,4.0,5500,-5.0,0.4332004501642474,0.29355282522909115
18,4.5,5500,-5.0,0.39557508082438275,0.31391218687754885
19,5.0,5500,-5.0,0.3562751275023441,0.33086796484088377
20,3.5,5750,-5.0,0.47658118419852413,0.26001220066802333
21,4.0,5750,-5.0,0.43820442202743176,0.2912930609425893
22,4.5,5750,-5.0,0.40396921699604144,0.31311203403775795
23,5.0,5750,-5.0,0.3672216587101901,0.33080575040673577
24,3.5,6000,-5.0,0.47808443379631527,0.2548863660263957
25,4.0,6000,-5.0,0.4412256593640703,0.28822408424010143
26,4.5,6000,-5.0,0.4101837929408987,0.3113252733783672
27,5.0,6000,-5.0,0.3781454018240417,0.32952666397374414
28,3.5,6250,-5.0,0.4770119100734946,0.25301188885945836
29,4.0,6250,-5.0,0.44214590856519675,0.28511854468109354
30,4.5,6250,-5.0,0.4123372492063671,0.309959793673217
31,5.0,6250,-5.0,0.38274084204495834,0.3273208235431915
32,3.5,6500,-5.0,0.4711601844655679,0.25317761939974326
33,4.0,6500,-5.0,0.43989200026826397,0.28216063402591746
34,4.5,6500,-5.0,0.41159680648871566,0.3060325071991433
35,5.0,6500,-5.0,0.3848922113595708,0.324956844057285
36,3.5,6750,-5.0,0.4623741260938487,0.25761738908890824
37,4.0,6750,-5.0,0.4350565142407791,0.2822229050083931
38,4.5,6750,-5.0,0.40899731940962275,0.30460079978222987
39,5.0,6750,-5.0,0.3842161461651982,0.3237396942545737
40,3.5,7000,-5.0,0.4407163209410069,0.2723973977655665
41,4.0,7000,-5.0,0.42174406635121603,0.2882252797945972
42,4.5,7000,-5.0,0.4009022395751169,0.30570656325035994
43,5.0,7000,-5.0,0.3786366539247913,0.32292760447388313
44,3.5,7250,-5.0,0.4224027915074011,0.2879056232918955
45,4.0,7250,-5.0,0.4078796527865012,0.29700797199226825
46,4.5,7250,-5.0,0.3912788795376118,0.30994215442914486
47,5.0,7250,-5.0,0.37244368644475545,0.32456801169980737
48,3.5,7500,-5.0,0.4551578653557195,0.24907513220363703
49,4.0,7500,-5.0,0.38247622640416246,0.31547620507162055
50,4.5,7500,-5.0,0.3704530693855198,0.322234726805434
51,5.0,7500,-5.0,0.3569421576310906,0.33152018997154126
52,3.5,7750,-5.0,0.44998716640578945,0.2797578398436276
53,4.0,7750,-5.0,0.37513618676947175,0.31019597935410864
54,4.5,7750,-5.0,0.35352664326333355,0.3334744844435777
55,5.0,7750,-5.0,0.34269618480637043,0.3395429398687748
56,3.5,8000,-5.0,0.44088328484084216,0.309770681641745
57,4.0,8000,-5.0,0.3913916651034281,0.3153731656985638
58,4.5,8000,-5.0,0.3293564850710555,0.3414984271566123
59,5.0,8000,-5.0,0.3166825888299169,0.3547886982616275
60,3.5,8250,-5.0,0.44715529143563454,0.3008490607083355
61,4.0,8250,-5.0,0.38721072266290946,0.3354617514040697
62,4.5,8250,-5.0,0.33337816151008814,0.3384051185112154
63,5.0,8250,-5.0,0.2991432549617846,0.36489253640087055
64,3.5,8500,-5.0,0.40818178273261124,0.3182467071292926
65,4.0,8500,-5.0,0.40353324274401653,0.3204942975226716
66,4.5,8500,-5.0,0.3353388075353367,0.36080422877956425
67,5.0,8500,-5.0,0.2850196588100743,0.36064289922788617
68,3.5,8750,-5.0,0.3786133827294811,0.33087491374473554
69,4.0,8750,-5.0,0.3912158973352858,0.32019145818244465
70,4.5,8750,-5.0,0.352028968784175,0.3488144116353975
71,5.0,8750,-5.0,0.28354930014976243,0.3811663011088774
72,3.5,9000,-5.0,0.34415062141859887,0.3404856961371698
73,4.0,9000,-5.0,0.3534423420789455,0.3351600049533554
74,4.5,9000,-5.0,0.36078644047466313,0.3277451599206611
75,5.0,9000,-5.0,0.30414996243741477,0.3689556185682139
76,3.5,9250,-5.0,0.34415062141859887,0.3404856961371698
77,4.0,9250,-5.0,0.3534423420789455,0.3351600049533554
78,4.5,9250,-5.0,0.36078644047466313,0.3277451599206611
79,5.0,9250,-5.0,0.30414996243741477,0.3689556185682139
80,3.5,9500,-5.0,0.34415062141859887,0.3404856961371698
81,4.0,9500,-5.0,0.3534423420789455,0.3351600049533554
82,4.5,9500,-5.0,0.36078644047466313,0.3277451599206611
83,5.0,9500,-5.0,0.30414996243741477,0.3689556185682139
84,3.5,9750,-5.0,0.34415062141859887,0.3404856961371698
85,4.0,9750,-5.0,0.3534423420789455,0.3351600049533554
86,4.5,9750,-5.0,0.36078644047466313,0.3277451599206611
87,5.0,9750,-5.0,0.30414996243741477,0.3689556185682139
88,3.5,10000,-5.0,0.34415062141859887,0.3404856961371698
89,4.0,10000,-5.0,0.3534423420789455,0.3351600049533554
90,4.5,10000,-5.0,0.36078644047466313,0.3277451599206611
91,5.0,10000,-5.0,0.30414996243741477,0.3689556185682139
92,3.5,3750,-4.5,0.45415980774970555,0.20826847445475224
93,3.5,4000,-4.5,0.24463084067608845,0.3671045725975921
94,4.0,4000,-4.5,0.21719827616243687,0.3904514053550579
95,3.5,4250,-4.5,0.2573108161927562,0.3578903623807668
96,4.0,4250,-4.5,0.1845149206805065,0.39122428299732115
97,4.5,4250,-4.5,0.15898103859047882,0.401872292312742
98,3.5,4500,-4.5,0.4014176597764605,0.2891450390475004
99,4.0,4500,-4.5,0.2710234761691977,0.356834392930046
100,4.5,4500,-4.5,0.1913243966324469,0.38079744347103234
101,5.0,4500,-4.5,0.14862918783309176,0.3813820609713605
102,3.5,4750,-4.5,0.47539641495709534,0.2721037659543913
103,4.0,4750,-4.5,0.3512700878923874,0.3359342611334015
104,4.5,4750,-4.5,0.25614916773670704,0.3672470220662861
105,5.0,4750,-4.5,0.18876220503967184,0.37902318836659843
106,3.5,5000,-4.5,0.4600950447286254,0.26169412228505606
107,4.0,5000,-4.5,0.41088279188474147,0.29116393408088814
108,4.5,5000,-4.5,0.34523162238216343,0.32341595526390327
109,5.0,5000,-4.5,0.2711368153352343,0.3751980726382079
110,3.5,5250,-4.5,0.46667448638155073,0.26314330768622757
111,4.0,5250,-4.5,0.4222190106473604,0.29258957847890776
112,4.5,5250,-4.5,0.3783652707170872,0.3138686974743257
113,5.0,5250,-4.5,0.3108702839534459,0.38188207167131843
114,3.5,5500,-4.5,0.4737004854238891,0.2615663166291466
115,4.0,5500,-4.5,0.4335006556562294,0.2926233128074036
116,4.5,5500,-4.5,0.39599425482095757,0.3138775559545164
117,5.0,5500,-4.5,0.3562733063807949,0.33099478973695534
118,3.5,5750,-4.5,0.4774629025899618,0.2590938612214543
119,4.0,5750,-4.5,0.43871290609386865,0.29091059788117507
120,4.5,5750,-4.5,0.4044262769350241,0.31227822658850746
121,5.0,5750,-4.5,0.3675828840909395,0.33073285563928073
122,3.5,6000,-4.5,0.47775905384376127,0.2555188509599144
123,4.0,6000,-4.5,0.44123223604043893,0.28798458306379476
124,4.5,6000,-4.5,0.4104874292819246,0.31087185209605794
125,5.0,6000,-4.5,0.37839389117985955,0.32932295639437037
126,3.5,6250,-4.5,0.4772290706879982,0.25270267520465595
127,4.0,6250,-4.5,0.44242964405635515,0.2847235666856537
128,4.5,6250,-4.5,0.4126748126133355,0.309661712092709
129,5.0,6250,-4.5,0.3830520738747638,0.32739635138530704
130,3.5,6500,-4.5,0.47127630386156427,0.25297281853027576
131,4.0,6500,-4.5,0.4398206985098254,0.2818100185044793
132,4.5,6500,-4.5,0.41177089791139465,0.3057417123635896
133,5.0,6500,-4.5,0.38511097431057656,0.3246649698528785
134,3.5,6750,-4.5,0.46245498620518116,0.25740397313112995
135,4.0,6750,-4.5,0.43513189999169904,0.2820221797554278
136,4.5,6750,-4.5,0.4091375576799333,0.3043961551541999
137,5.0,6750,-4.5,0.38435503017780076,0.32321211047493464
138,3.5,7000,-4.5,0.44072003439028,0.2723035649871581
139,4.0,7000,-4.5,0.42180517431246134,0.2880682213572322
140,4.5,7000,-4.5,0.4009392225531907,0.30556735362327403
141,5.0,7000,-4.5,0.3787626950996992,0.32264917531272846
142,3.5,7250,-4.5,0.4223307988727621,0.28792240698295635
143,4.0,7250,-4.5,0.40774422140024713,0.29703621333548785
144,4.5,7250,-4.5,0.39125354317405603,0.30985521377330333
145,5.0,7250,-4.5,0.3722533666489904,0.32434519312541926
146,3.5,7500,-4.5,0.4529594993001856,0.2518447631966186
147,4.0,7500,-4.5,0.3824594953374352,0.31540266093230945
148,4.5,7500,-4.5,0.3704281573273222,0.3221086677407778
149,5.0,7500,-4.5,0.35693308265827567,0.33141688297445626
150,3.5,7750,-4.5,0.45013856029590715,0.27954370053592137
151,4.0,7750,-4.5,0.3751816400345308,0.3101102075103601
152,4.5,7750,-4.5,0.353519203334764,0.3334200721336554
153,5.0,7750,-4.5,0.3426357897515476,0.3394071272277938
154,3.5,8000,-4.5,0.4409329071715187,0.309653233745269
155,4.0,8000,-4.5,0.39136921371834915,0.31542043920583857
156,4.5,8000,-4.5,0.3292939296809632,0.34146719863518676
157,5.0,8000,-4.5,0.31667680546592114,0.35469914026203764
158,3.5,8250,-4.5,0.44713622603918757,0.30076725225009154
159,4.0,8250,-4.5,0.3872502119954563,0.3354071648115423
160,4.5,8250,-4.5,0.3338159876819151,0.337666621875531
161,5.0,8250,-4.5,0.29913195316702457,0.364800854874495
162,3.5,8500,-4.5,0.4080289463487742,0.31825798951235035
163,4.0,8500,-4.5,0.4035459309631948,0.3203849781131159
164,4.5,8500,-4.5,0.33547733369856764,0.3606142484323823
165,5.0,8500,-4.5,0.2851097547473699,0.36048281122011594
166,3.5,8750,-4.5,0.37849060634428133,0.33084107475266994
167,4.0,8750,-4.5,0.39110200171047477,0.3201797354114397
168,4.5,8750,-4.5,0.3521129082824568,0.3486815601947532
169,5.0,8750,-4.5,0.2836146773926103,0.3810721166804807
170,3.5,9000,-4.5,0.34406882529629684,0.34041161761218275
171,4.0,9000,-4.5,0.35333778519233466,0.3351253451025146
172,4.5,9000,-4.5,0.3607209039158146,0.32769207526758865
173,5.0,9000,-4.5,0.3042457438707307,0.3687996691081992
174,3.5,9250,-4.5,0.34406882529629684,0.34041161761218275
175,4.0,9250,-4.5,0.35333778519233466,0.3351253451025146
176,4.5,9250,-4.5,0.3607209039158146,0.32769207526758865
177,5.0,9250,-4.5,0.3042457438707307,0.3687996691081992
