,logg,Teff,Z,aLSM,bLSM
0,3.5,4000,-5.0,0.08878064674349835,0.3849198283829278
1,3.5,4250,-5.0,0.12266192187281408,0.3596151876708746
2,4.0,4250,-5.0,0.0876514187975768,0.3539114782471549
3,3.5,4500,-5.0,0.2307126442587533,0.33566275135216983
4,4.0,4500,-5.0,0.15637004168033575,0.3448262601477027
5,3.5,4750,-5.0,0.2991020535632419,0.32733159815449636
6,4.0,4750,-5.0,0.21579387672220873,0.34527481304732854
7,4.5,4750,-5.0,0.15623199849712982,0.34517875104416895
8,3.5,5000,-5.0,0.26619234462484853,0.3341440963901444
9,4.0,5000,-5.0,0.2480133424150466,0.32964078417980713
10,4.5,5000,-5.0,0.21431602299441388,0.33109053500645114
11,5.0,5000,-5.0,0.1811770255694126,0.32828839629259626
12,3.5,5250,-5.0,0.2743146635777039,0.33230142651678857
13,4.0,5250,-5.0,0.25357378948708476,0.3373445614747863
14,4.5,5250,-5.0,0.23367816856652596,0.3337446665526499
15,5.0,5250,-5.0,0.20654466302949437,0.3627627782960662
16,3.5,5500,-5.0,0.28498058812651,0.32405510542165616
17,4.0,5500,-5.0,0.2667007785754973,0.33450685702112476
18,4.5,5500,-5.0,0.2462522310568448,0.3388997080932319
19,5.0,5500,-5.0,0.2249790352608974,0.3389975514448757
20,3.5,5750,-5.0,0.2907717649675996,0.3174086320224624
21,4.0,5750,-5.0,0.27291814429789757,0.329249429550382
22,4.5,5750,-5.0,0.25514193326218726,0.3360181966662657
23,5.0,5750,-5.0,0.23378265030664097,0.34031433956812474
24,3.5,6000,-5.0,0.2933855660304401,0.3084643458923966
25,4.0,6000,-5.0,0.2783253915030137,0.3214620522480086
26,4.5,6000,-5.0,0.26375809522119587,0.32961982494955
27,5.0,6000,-5.0,0.24507949370682425,0.3367793768018463
28,3.5,6250,-5.0,0.29284553314865086,0.30430880218081696
29,4.0,6250,-5.0,0.2802263476647256,0.31591203418617686
30,4.5,6250,-5.0,0.268524063941205,0.3239701459303725
31,5.0,6250,-5.0,0.25105141913366474,0.33179864534333003
32,3.5,6500,-5.0,0.28756471995999955,0.3008860445130383
33,4.0,6500,-5.0,0.278598683483124,0.3102856898992386
34,4.5,6500,-5.0,0.26876951190637755,0.3177770177471373
