,logg,Teff,Z,aLSM,bLSM
0,3.5,4000,-5.0,0.03607163605762871,0.26553970997449705
1,3.5,4250,-5.0,0.05953903517722918,0.2643230151479039
2,4.0,4250,-5.0,0.04224937399484874,0.25435710745446916
3,3.5,4500,-5.0,0.12268802124227693,0.2783283224393879
4,4.0,4500,-5.0,0.08242914140459479,0.2693857912888985
5,3.5,4750,-5.0,0.16769934740124642,0.2857632156194136
6,4.0,4750,-5.0,0.11810057349649743,0.2839907573673888
7,4.5,4750,-5.0,0.08402624793126359,0.2727599020752674
8,3.5,5000,-5.0,0.1410422416526601,0.2970060725331526
9,4.0,5000,-5.0,0.13427749212064985,0.2851181816057904
10,4.5,5000,-5.0,0.11714220698770482,0.27670354618821913
11,5.0,5000,-5.0,0.10096775748465318,0.26441886115727453
12,3.5,5250,-5.0,0.14837693534770094,0.29592052001350533
13,4.0,5250,-5.0,0.13763934096948385,0.2946881382701333
14,4.5,5250,-5.0,0.1284615827129522,0.28482268518066456
15,5.0,5250,-5.0,0.11808123277898201,0.29675230925277607
16,3.5,5500,-5.0,0.15862597530790265,0.28816120185298183
17,4.0,5500,-5.0,0.14916439635854264,0.2921365681748969
18,4.5,5500,-5.0,0.13727264463086142,0.29203949827963155
19,5.0,5500,-5.0,0.1257838081260736,0.2869779341843862
20,3.5,5750,-5.0,0.1640712287455037,0.2821977826238567
21,4.0,5750,-5.0,0.1549527768244811,0.2872415825816243
22,4.5,5750,-5.0,0.14483403501245432,0.28943207127711384
23,5.0,5750,-5.0,0.13232382710607082,0.28922474637927786
24,3.5,6000,-5.0,0.16653819628258326,0.27496396212317353
25,4.0,6000,-5.0,0.16007665857972642,0.2802319970859435
26,4.5,6000,-5.0,0.15259426545891744,0.2833841909661829
27,5.0,6000,-5.0,0.14154091964754126,0.28637528405185625
28,3.5,6250,-5.0,0.1659357510517921,0.2718535408589922
29,4.0,6250,-5.0,0.16144524753172768,0.27587796382013857
30,4.5,6250,-5.0,0.1568191468825833,0.2781747449275367
31,5.0,6250,-5.0,0.1464959124117274,0.2820368461895635
32,3.5,6500,-5.0,0.16098066194863206,0.26967568824285393
33,4.0,6500,-5.0,0.15929788368502462,0.2719108413773504
34,4.5,6500,-5.0,0.15634934745879572,0.27362803033434696
35,5.0,6500,-5.0,0.1505761777721992,0.2759462577619593
36,3.5,6750,-5.0,0.15487570291399116,0.27017197075656324
37,4.0,6750,-5.0,0.15460903896272862,0.2713523021700969
38,4.5,6750,-5.0,0.15390299050465348,0.2717254844359727
39,5.0,6750,-5.0,0.1514420533775398,0.272244379682525
40,3.5,7000,-5.0,0.142307056757774,0.2729644892993701
41,4.0,7000,-5.0,0.14483745623598107,0.27196205726639777
42,4.5,7000,-5.0,0.14705715922349255,0.2706049505066149
43,5.0,7000,-5.0,0.14722706570729097,0.26982092016922804
44,3.5,7250,-5.0,0.13448232736580462,0.2746339194428787
45,4.0,7250,-5.0,0.13697872811572898,0.27284882235787733
46,4.5,7250,-5.0,0.14033729874683085,0.2709390655029392
47,5.0,7250,-5.0,0.14276588970002374,0.2690636972097215
48,3.5,7500,-5.0,0.13614622075027888,0.2510514137033929
49,4.0,7500,-5.0,0.12516770202655053,0.2735957041477939
50,4.5,7500,-5.0,0.12838953606362788,0.2720206089939033
51,5.0,7500,-5.0,0.13255211446922982,0.2696360479066718
52,3.5,7750,-5.0,0.15780907439893654,0.23633414452829882
53,4.0,7750,-5.0,0.11345951911642348,0.2709233390671652
54,4.5,7750,-5.0,0.12036442790272638,0.2722639378684887
55,5.0,7750,-5.0,0.12489399638973454,0.27003838322190227
56,3.5,8000,-5.0,0.17370274107921288,0.22637580644917993
57,4.0,8000,-5.0,0.13431244012327176,0.2470658918460322
58,4.5,8000,-5.0,0.10607262158062063,0.26936592545893767
59,5.0,8000,-5.0,0.11296106662152841,0.2697272850246106
60,3.5,8250,-5.0,0.17464573752120086,0.2165448435634488
61,4.0,8250,-5.0,0.15133160345799643,0.23335443924022312
62,4.5,8250,-5.0,0.10765066081223576,0.260345467825356
63,5.0,8250,-5.0,0.10649881414532215,0.2675522170784893
64,3.5,8500,-5.0,0.15813399202194797,0.21826110978402802
65,4.0,8500,-5.0,0.16241379636098544,0.2112117090794457
66,4.5,8500,-5.0,0.13569316939921652,0.23486370422325858
67,5.0,8500,-5.0,0.09611557492966631,0.25924439407019945
68,3.5,8750,-5.0,0.1490803774473463,0.21874563253173912
69,4.0,8750,-5.0,0.15348934807626963,0.20955917278961309
70,4.5,8750,-5.0,0.14984267567958665,0.2137121565336082
71,5.0,8750,-5.0,0.11544728173122691,0.24456850521922813
72,3.5,9000,-5.0,0.13879134727855238,0.2172909320363058
73,4.0,9000,-5.0,0.14148259451787304,0.20910899259193633
74,4.5,9000,-5.0,0.14539747554814017,0.20190072815238924
75,5.0,9000,-5.0,0.1380869439970788,0.21216695317984516
76,3.5,9250,-5.0,0.13879134727855238,0.2172909320363058
77,4.0,9250,-5.0,0.14148259451787304,0.20910899259193633
78,4.5,9250,-5.0,0.14539747554814017,0.20190072815238924
79,5.0,9250,-5.0,0.1380869439970788,0.21216695317984516
80,3.5,9500,-5.0,0.13879134727855238,0.2172909320363058
81,4.0,9500,-5.0,0.14148259451787304,0.20910899259193633
82,4.5,9500,-5.0,0.14539747554814017,0.20190072815238924
83,5.0,9500,-5.0,0.1380869439970788,0.21216695317984516
84,3.5,9750,-5.0,0.13879134727855238,0.2172909320363058
85,4.0,9750,-5.0,0.14148259451787304,0.20910899259193633
86,4.5,9750,-5.0,0.14539747554814017,0.20190072815238924
87,5.0,9750,-5.0,0.1380869439970788,0.21216695317984516
88,3.5,10000,-5.0,0.13879134727855238,0.2172909320363058
89,4.0,10000,-5.0,0.14148259451787304,0.20910899259193633
90,4.5,10000,-5.0,0.14539747554814017,0.20190072815238924
91,5.0,10000,-5.0,0.1380869439970788,0.21216695317984516
92,3.5,3750,-4.5,0.039147099552515496,0.3539431003961625
93,3.5,4000,-4.5,0.03688539118295387,0.2729133200311364
94,4.0,4000,-4.5,0.029079067719220596,0.28074199418124074
95,3.5,4250,-4.5,0.059835784031453954,0.26732534157914856
96,4.0,4250,-4.5,0.04267231820431973,0.2573497730087841
97,4.5,4250,-4.5,0.03578540853765311,0.2558868284461283
98,3.5,4500,-4.5,0.12347300525188609,0.279020732403717
99,4.0,4500,-4.5,0.08301436638768485,0.270450470924816
100,4.5,4500,-4.5,0.057959946986731056,0.2593314833061721
101,5.0,4500,-4.5,0.043928799463524425,0.24754782061803401
102,3.5,4750,-4.5,0.16905209442323377,0.2849765805003888
103,4.0,4750,-4.5,0.11865491862117972,0.2844414089816151
104,4.5,4750,-4.5,0.0845068584928208,0.2732276530308361
105,5.0,4750,-4.5,0.06083232060113032,0.2613351359357676
106,3.5,5000,-4.5,0.14194780431190043,0.29582408985498315
107,4.0,5000,-4.5,0.1336897442618759,0.2856693976164346
108,4.5,5000,-4.5,0.11508976342935073,0.27895038595929494
109,5.0,5000,-4.5,0.09640929987264123,0.2835211188024258
110,3.5,5250,-4.5,0.1489881077469021,0.29531485946875546
111,4.0,5250,-4.5,0.13866928174791482,0.293554493211463
